epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.787,1.89863,1.46849,1.14759,0.73087,0.42751,0.4862,0.24884,1.59955,0.99282,1.09058,0.000665631,0.000665631,0.000665631
2,222.034,1.75914,1.08149,1.08199,0.7453,0.42404,0.49437,0.25806,1.57107,0.93255,1.07469,0.00130592,0.00130592,0.00130592
3,322.976,1.72167,1.03347,1.07499,0.78248,0.43441,0.50899,0.25575,1.56692,0.97782,1.06565,0.00191981,0.00191981,0.00191981
4,622.157,1.67545,0.98492,1.06401,0.77312,0.44487,0.51902,0.26637,1.54994,0.87642,1.06128,0.0018812,0.0018812,0.0018812
5,727.449,1.64144,0.94097,1.04977,0.79715,0.47731,0.56037,0.2924,1.48681,0.81531,1.0417,0.0018416,0.0018416,0.0018416
6,833.638,1.62252,0.91838,1.04317,0.78207,0.48646,0.56479,0.2964,1.49168,0.81457,1.03739,0.001802,0.001802,0.001802
7,938.043,1.58956,0.89156,1.03812,0.78994,0.50077,0.57847,0.30163,1.46421,0.77571,1.03313,0.0017624,0.0017624,0.0017624
8,1059.65,1.58482,0.87842,1.03174,0.79316,0.4996,0.58069,0.30409,1.46162,0.76772,1.02972,0.0017228,0.0017228,0.0017228
9,1261.58,1.5628,0.86,1.02797,0.80242,0.50353,0.58317,0.3017,1.49962,0.76372,1.03655,0.0016832,0.0016832,0.0016832
10,1383.09,1.56336,0.85426,1.02704,0.80249,0.51373,0.59315,0.3149,1.42959,0.75265,1.02472,0.0016436,0.0016436,0.0016436
11,1500.12,1.55431,0.84,1.02422,0.80096,0.51679,0.59424,0.31066,1.43892,0.74006,1.02421,0.001604,0.001604,0.001604
12,1664.12,1.54463,0.83393,1.01967,0.80192,0.52412,0.60636,0.32303,1.41795,0.72272,1.01744,0.0015644,0.0015644,0.0015644
13,1783.68,1.54236,0.8258,1.01408,0.80692,0.52404,0.60594,0.3228,1.41088,0.71842,1.01759,0.0015248,0.0015248,0.0015248
14,1940.11,1.52757,0.81382,1.01574,0.81764,0.51921,0.60201,0.31748,1.42201,0.72435,1.01743,0.0014852,0.0014852,0.0014852
15,2054.2,1.52756,0.8121,1.01363,0.81749,0.52882,0.61114,0.3282,1.40117,0.70192,1.00987,0.0014456,0.0014456,0.0014456
16,2186.54,1.52485,0.80563,1.01505,0.81498,0.5196,0.60466,0.32272,1.40116,0.69882,1.01404,0.001406,0.001406,0.001406
17,2300.58,1.5121,0.7972,1.01175,0.81426,0.52985,0.61225,0.32387,1.39997,0.69757,1.01042,0.0013664,0.0013664,0.0013664
18,2413.94,1.50946,0.79163,1.00638,0.80776,0.52169,0.5982,0.31843,1.40383,0.71104,1.01201,0.0013268,0.0013268,0.0013268
19,2526.67,1.50637,0.78747,1.00615,0.82379,0.53541,0.62169,0.33539,1.38429,0.68104,1.00861,0.0012872,0.0012872,0.0012872
20,2768.65,1.49672,0.77889,1.00186,0.82488,0.54014,0.62422,0.33577,1.37708,0.67991,1.00351,0.0012476,0.0012476,0.0012476
21,2883.48,1.49376,0.77523,1.00066,0.81753,0.54474,0.62793,0.33768,1.37913,0.66922,1.00771,0.001208,0.001208,0.001208
22,3008.66,1.4919,0.77157,1.0019,0.81925,0.54464,0.62672,0.33798,1.37964,0.6691,1.00426,0.0011684,0.0011684,0.0011684
23,3136.61,1.48828,0.76898,1.0027,0.81866,0.54036,0.6227,0.3357,1.37897,0.67409,1.00372,0.0011288,0.0011288,0.0011288
24,3262.87,1.48078,0.75973,0.99828,0.82202,0.54397,0.62711,0.34022,1.37764,0.66054,1.0016,0.0010892,0.0010892,0.0010892
25,3386.77,1.46699,0.74859,0.99738,0.81685,0.55183,0.63435,0.34218,1.37554,0.65785,1.00206,0.0010496,0.0010496,0.0010496
26,3513.84,1.46012,0.74606,0.99737,0.82328,0.54846,0.63166,0.33946,1.36901,0.65241,1.00152,0.00101,0.00101,0.00101
27,3646.04,1.47427,0.7473,0.99274,0.8229,0.55147,0.63503,0.34313,1.3643,0.65047,1.00013,0.0009704,0.0009704,0.0009704
28,3768.59,1.45353,0.73814,0.99337,0.82505,0.55427,0.63622,0.34367,1.36621,0.65019,1.00227,0.0009308,0.0009308,0.0009308
29,3883.69,1.44181,0.72869,0.99088,0.82996,0.54587,0.63134,0.34187,1.36038,0.64657,0.998,0.0008912,0.0008912,0.0008912
30,4013.7,1.45397,0.73421,0.98984,0.82309,0.55513,0.63498,0.34329,1.36577,0.64638,0.99706,0.0008516,0.0008516,0.0008516
31,4143.68,1.44357,0.72412,0.98754,0.82327,0.55657,0.63765,0.34724,1.35241,0.63959,0.99509,0.000812,0.000812,0.000812
32,4267.8,1.44307,0.72751,0.98725,0.82326,0.55647,0.6384,0.34479,1.35976,0.63861,0.99608,0.0007724,0.0007724,0.0007724
33,4525.06,1.44229,0.72177,0.98645,0.83047,0.55746,0.64256,0.34802,1.36134,0.634,0.99639,0.0007328,0.0007328,0.0007328
34,4644.21,1.45369,0.7237,0.98539,0.82935,0.5613,0.64589,0.34982,1.3547,0.63132,0.99635,0.0006932,0.0006932,0.0006932
35,4758.71,1.4393,0.71596,0.98495,0.83002,0.5596,0.64445,0.35099,1.34911,0.62646,0.99208,0.0006536,0.0006536,0.0006536
36,4872.76,1.42706,0.70884,0.98473,0.83505,0.5524,0.63938,0.34706,1.35152,0.62712,0.99311,0.000614,0.000614,0.000614
37,4989.31,1.42046,0.70129,0.97957,0.83007,0.5569,0.64277,0.34968,1.34897,0.62313,0.99129,0.0005744,0.0005744,0.0005744
38,5110.92,1.43087,0.70566,0.98207,0.83392,0.557,0.64457,0.35014,1.3534,0.62478,0.99286,0.0005348,0.0005348,0.0005348
39,5229.63,1.42078,0.69757,0.97907,0.83376,0.56123,0.64632,0.3527,1.34483,0.62031,0.99058,0.0004952,0.0004952,0.0004952
40,5339.87,1.41757,0.69585,0.97831,0.8253,0.56456,0.64684,0.35203,1.34551,0.61863,0.99158,0.0004556,0.0004556,0.0004556
41,5468.25,1.39528,0.67004,0.98177,0.82901,0.55592,0.64105,0.3477,1.35385,0.62444,0.9925,0.000416,0.000416,0.000416
42,5574.46,1.38182,0.66126,0.97931,0.82895,0.55836,0.6436,0.34874,1.35389,0.62346,0.99299,0.0003764,0.0003764,0.0003764
43,5679.72,1.37953,0.65556,0.97732,0.83141,0.5588,0.64485,0.35158,1.35065,0.62075,0.99417,0.0003368,0.0003368,0.0003368
44,5786.88,1.38084,0.65465,0.97691,0.83072,0.5617,0.64656,0.35279,1.34977,0.61794,0.99361,0.0002972,0.0002972,0.0002972
45,5892.59,1.37036,0.64877,0.97203,0.83093,0.56236,0.64706,0.35319,1.34768,0.61731,0.99173,0.0002576,0.0002576,0.0002576
46,5990.68,1.36529,0.64437,0.97198,0.83105,0.56239,0.6467,0.35301,1.3487,0.61593,0.99015,0.000218,0.000218,0.000218
